@relation sentiment_lexicon_based_relation

@attribute Positiv numeric
@attribute Negativ numeric
@attribute Pstv numeric
@attribute Affil numeric
@attribute Ngtv numeric
@attribute Hostile numeric
@attribute Strong numeric
@attribute Power numeric
@attribute Weak numeric
@attribute Submit numeric
@attribute Active numeric
@attribute Passive numeric
@attribute Pleasur numeric
@attribute Pain numeric
@attribute Feel numeric
@attribute Arousal numeric
@attribute EMOT numeric
@attribute Virtue numeric
@attribute Vice numeric
@attribute Ovrst numeric
@attribute Undrst numeric
@attribute Academ numeric
@attribute Doctrin numeric
@attribute Yes numeric
@attribute No numeric
@attribute Quality numeric
@attribute review_class {ndef,neg,pos}

@data
0,15.036466,12.37168,0,0,27.605156,8.113405,3.57769,1.795436,0,12.451234,9.615223,2.222544,0,2.275889,1.979608,0,3.57769,21.232098,7.167621,4.90037,14.304242,0,4.413341,19.313927,0.555025,neg
0,0,0,0,0,4.995865,1.642453,0,2.711608,0,0,0,2.430561,0,0,1.680711,0,0,2.711608,4.995865,2.430561,2.773029,0,4.616981,4.995865,0,neg
0,8.319145,5.700656,2.866279,0,21.958881,12.71028,0,4.490605,3.30471,7.203568,9.407377,6.569801,0,0,0,0,5.527254,12.267183,5.477723,2.173012,5.404182,0,11.176044,14.493001,12.221292,neg
0,10.977685,3.262976,0,0,22.33249,31.649783,0,11.181358,2.396742,3.824073,9.183393,0,0,3.265091,6.479069,3.265091,5.661833,17.604102,8.265767,10.432575,27.554309,0,7.983723,17.777624,5.910635,neg
4.991669,18.120452,6.813617,2.004147,0,34.7679,30.369234,2.149514,3.439289,5.058685,7.625793,12.830468,9.344829,0,0,10.788721,0,4.355151,23.133602,10.630297,10.196782,14.717518,3.324611,16.886831,22.873529,3.391467,neg
3.827185,8.848694,4.889417,1.493153,0,35.066899,17.462036,8.097498,2.629967,4.385305,5.515661,6.832676,1.932992,0,0,0,0,8.097498,11.433926,7.234625,5.605506,12.49083,9.562456,2.777398,26.405963,7.709695,neg
0,7.719223,0,0,0,30.983986,18.050726,1.487204,0,0,13.914785,23.500557,10.183115,0,0,0,0,1.487204,20.467297,8.264614,4.704143,20.097703,0,4.131134,17.007609,7.928349,neg
2.677789,15.642119,14.292092,11.382207,0,20.555897,11.348788,6.511069,2.454059,2.173012,8.819186,9.033354,2.677789,0,2.121444,7.235603,0,8.684081,20.538389,5.011474,11.813709,9.888307,2.478383,13.759103,18.222212,0,neg
2.478383,20.509738,27.430072,0,0,53.491083,26.828662,12.928307,3.308554,10.319891,26.705298,24.533959,0,0,1.853232,10.555567,0,25.102634,30.339018,7.572729,26.782045,18.064287,2.455318,21.421539,19.804439,5.002208,neg
0,21.826794,10.825598,4.685214,5.753169,29.895316,22.079374,3.125997,0,0,10.728007,10.511623,2.08345,3.439289,2.74099,2.74099,3.125997,2.74099,23.64573,9.789592,5.986393,9.062193,0,17.155681,13.554442,5.447659,neg
5.836031,13.553696,14.184578,4.996567,0,38.07132,34.777713,6.854254,3.926858,3.065685,14.597896,14.446745,6.619027,0,4.152967,1.372779,0,14.613671,28.953236,6.884259,13.293615,12.909998,2.478383,19.163218,34.766609,5.274537,neg
5.632511,22.830073,6.804,2.866279,0,13.484942,7.708976,4.074843,2.958836,0,12.629444,5.919442,8.608808,0,3.582605,8.482005,0,3.582605,28.544905,0,9.456037,2.677789,0,7.811062,9.994286,4.954588,neg
1.899979,1.737826,3.28541,0,0,25.527161,24.914458,0,3.342413,0,1.737826,12.836246,0,0,0,5.401423,0,0,1.737826,1.768251,7.673823,16.695034,0,5.53907,11.287169,16.308296,neg
5.168661,25.002523,11.63106,5.996225,0,48.559854,32.597436,0,0,3.30471,8.450028,32.339113,14.025104,0,1.599505,1.858273,0,0,28.922265,10.078008,23.840257,11.100639,0,17.365232,33.316591,11.583057,neg
1.899979,4.850801,5.683564,0,0,26.129185,5.171555,3.919742,6.391228,0,1.692559,6.389231,0,0,0,0,0,3.919742,7.888191,14.187326,7.184833,3.101969,0,7.447478,15.779696,0,neg
0,12.631739,7.925576,0,0,35.146296,28.01532,2.974407,5.059297,0,16.304252,17.795937,7.545543,0,0,2.784638,0,2.974407,23.489085,9.186066,16.680791,13.799504,2.866279,11.323578,20.173585,9.589703,neg
0,11.579293,11.746524,0,0,19.504435,12.476839,0,2.529751,1.800073,4.241102,8.550863,1.932992,0,1.338482,5.154112,0,0,17.169197,12.91533,6.937091,10.400941,0,12.758254,12.416956,1.700573,neg
2.585232,13.375627,20.615329,0,0,31.984733,8.672749,2.304185,6.560799,0,4.639303,6.664225,0,3.439289,10.658928,6.354865,0,4.36978,16.89408,0,11.828226,4.816387,4.689644,6.883401,16.287927,2.341281,neg
5.530525,8.31627,0,0,0,9.071748,6.221088,0,0,0,2.911014,4.445088,0,0,1.729372,6.25042,0,6.174461,17.293228,2.984044,0,13.645244,0,8.326071,9.071748,6.065945,neg
0,28.889998,8.319901,0,0,26.151565,26.407371,0,0,2.396742,22.360331,8.540271,3.618303,0,0,12.279666,0,2.396742,37.6484,12.148867,9.748829,13.866603,1.549133,13.420619,22.479051,10.166241,neg
4.152967,21.968835,1.283369,5.64612,0,51.204231,47.177318,3.158242,4.43004,0,13.756131,18.280345,0,0,2.726496,2.119372,0,3.158242,29.469227,28.65676,5.028913,17.057247,3.745544,14.136749,34.244503,8.603135,neg
0,16.425604,10.475311,0,0,35.77082,26.025018,0,3.279095,0,16.836106,23.31081,0,0,0,13.804802,0,3.346732,25.78993,4.63453,3.391467,20.564793,0,1.251023,16.607918,8.27048,neg
2.677789,8.758136,2.165091,0,0,29.895696,10.696635,0,13.60165,0,4.473673,12.599574,2.677789,0,3.553104,5.410116,0,0,15.06027,2.677789,5.603632,7.702904,0,15.568465,18.960725,5.44264,neg
0,11.050551,11.071801,6.724915,0,35.509389,18.995827,3.265091,4.476342,0,7.502219,12.993383,0,0,0,2.645544,0,3.265091,25.855194,11.763677,11.924982,21.827246,9.086963,22.78015,22.287545,5.334848,neg
3.095185,37.60488,20.592626,0,0,32.191702,42.887878,5.534338,0,10.050803,23.629022,8.738782,3.60645,0,10.106192,11.964314,4.026591,18.705906,51.275695,5.69501,12.349008,17.133042,8.098842,8.732321,15.848989,8.724682,neg
