@relation sentiment_lexicon_based_relation

@attribute Positiv numeric
@attribute Negativ numeric
@attribute Hostile numeric
@attribute Pleasur numeric
@attribute Pain numeric
@attribute review_class {ndef,neg,pos}

@data
0.035714,0.071429,0.571429,0.214286,0.107143,neg
0,0,0.4,0.2,0.4,neg
0,0,0.5,0.416667,0.083333,neg
0,0,0.529412,0.294118,0.176471,neg
0,0.037037,0.481481,0.296296,0.185185,neg
0,0.166667,0.5,0.166667,0.166667,neg
0,0.047619,0.47619,0.285714,0.190476,neg
0.066667,0.133333,0.366667,0.366667,0.066667,neg
0.041667,0.083333,0.458333,0.416667,0,neg
0.08,0.04,0.48,0.36,0.04,neg
0,0.045455,0.454545,0.409091,0.090909,neg
0.105263,0.105263,0.210526,0.578947,0,neg
0,0,0.833333,0.083333,0.083333,neg
0.037037,0,0.666667,0.259259,0.037037,neg
0,0,0.52381,0.142857,0.333333,neg
0,0.115385,0.423077,0.307692,0.153846,neg
0.047619,0,0.47619,0.285714,0.190476,neg
0.2,0.04,0.4,0.36,0,neg
0.066667,0,0.333333,0.533333,0.066667,neg
0,0,0.352941,0.5,0.147059,neg
0.04878,0,0.439024,0.341463,0.170732,neg
0,0,0.470588,0.411765,0.117647,neg
0.071429,0,0.607143,0.285714,0.035714,neg
0,0,0.481481,0.444444,0.074074,neg
0.038462,0.076923,0.269231,0.538462,0.076923,neg
0,0,0.222222,0.666667,0.111111,neg
0,0,0.5,0.333333,0.166667,neg
0,0,0.456522,0.304348,0.23913,neg
0.142857,0,0.285714,0.571429,0,neg
0,0,0.428571,0.571429,0,neg
0,0,0.454545,0.454545,0.090909,neg
0.038462,0.038462,0.538462,0.346154,0.038462,neg
0.116279,0.023256,0.348837,0.418605,0.093023,neg
0,0.038462,0.5,0.346154,0.115385,neg
0,0.090909,0.636364,0.181818,0.090909,neg
0,0.05,0.4,0.5,0.05,neg
0,0.142857,0.142857,0.714286,0,neg
0.055556,0.166667,0.388889,0.166667,0.222222,neg
0,0,0.576923,0.307692,0.115385,neg
0,0,0.212121,0.69697,0.090909,neg
0,0.076923,0.692308,0,0.230769,neg
0,0,0.541667,0.333333,0.125,neg
0.111111,0,0.222222,0.666667,0,neg
0,0,0.166667,0.833333,0,neg
0.083333,0,0.416667,0.5,0,neg
0.085714,0.028571,0.542857,0.314286,0.028571,neg
0.071429,0.035714,0.535714,0.321429,0.035714,neg
0.041667,0,0.416667,0.375,0.166667,neg
0,0.043478,0.521739,0.26087,0.173913,neg
0.133333,0,0.466667,0.4,0,neg
0,0.153846,0.461538,0.307692,0.076923,neg
0,0.0625,0.3125,0.5,0.125,neg
0,0,0.6,0.3,0.1,neg
0.038462,0.038462,0.538462,0.346154,0.038462,neg
0.09375,0,0.375,0.5,0.03125,neg
0.272727,0,0.272727,0.363636,0.090909,neg
0,0,0.259259,0.481481,0.259259,neg
0,0,0.571429,0.142857,0.285714,neg
0.166667,0,0.166667,0.5,0.166667,neg
0.1,0,0.1,0.8,0,neg
0.086957,0.086957,0.608696,0.130435,0.086957,neg
0.032258,0,0.419355,0.548387,0,neg
0,0,0.461538,0.307692,0.230769,neg
0.060606,0,0.484848,0.30303,0.151515,neg
0,0,0.638889,0.083333,0.277778,neg
0.028571,0,0.571429,0.257143,0.142857,neg
0.04,0,0.52,0.4,0.04,neg
0.071429,0.107143,0.571429,0.214286,0.035714,neg
0,0,0.333333,0.5,0.166667,neg
0,0.095238,0.52381,0.238095,0.142857,neg
0.043478,0,0.478261,0.347826,0.130435,neg
0,0,0.631579,0.263158,0.105263,neg
0.043478,0,0.565217,0.304348,0.086957,neg
0.066667,0,0.433333,0.5,0,neg
0,0,0.727273,0.272727,0,neg
0,0.058824,0.352941,0.470588,0.117647,neg
0.083333,0.166667,0.416667,0.166667,0.166667,neg
0.166667,0,0.194444,0.611111,0.027778,neg
0.038462,0.076923,0.384615,0.346154,0.153846,neg
0.097561,0,0.317073,0.439024,0.146341,neg
0,0.111111,0.5,0.333333,0.055556,neg
0,0,0.470588,0.176471,0.352941,neg
0,0,0.833333,0.166667,0,neg
0.052632,0.078947,0.526316,0.263158,0.078947,neg
0,0.066667,0.6,0.266667,0.066667,neg
0,0.090909,0.636364,0.090909,0.181818,neg
0.041667,0.083333,0.333333,0.541667,0,neg
0.038462,0.038462,0.423077,0.307692,0.192308,neg
0.166667,0,0.166667,0.666667,0,neg
0.045455,0,0.454545,0.454545,0.045455,neg
0.1,0.033333,0.3,0.533333,0.033333,neg
0.038462,0.192308,0.538462,0.192308,0.038462,neg
0.033333,0,0.566667,0.3,0.1,neg
0,0.2,0.6,0,0.2,neg
0.086957,0,0.173913,0.695652,0.043478,neg
0,0,0.583333,0.25,0.166667,neg
0.028571,0.028571,0.428571,0.485714,0.028571,neg
0.018182,0.018182,0.345455,0.509091,0.109091,neg
0,0,0.777778,0.222222,0,neg
0.045455,0.136364,0.454545,0.363636,0,neg
0.014925,0.059701,0.492537,0.38806,0.044776,neg
0.047619,0,0.52381,0.238095,0.190476,neg
0,0,0.6,0.3,0.1,neg
0,0.074074,0.37037,0.518519,0.037037,neg
0,0,0.555556,0.333333,0.111111,neg
0.060606,0.030303,0.30303,0.545455,0.060606,neg
0,0,0.25,0.75,0,neg
0.025641,0,0.435897,0.487179,0.051282,neg
0.166667,0,0.333333,0.444444,0.055556,neg
0.047619,0.095238,0.428571,0.285714,0.142857,neg
0,0.071429,0.357143,0.357143,0.214286,neg
0.022222,0,0.422222,0.466667,0.088889,neg
0.047619,0.047619,0.666667,0.238095,0,neg
0,0,0.421053,0.315789,0.263158,neg
0,0,0.142857,0.714286,0.142857,neg
0.027778,0,0.416667,0.416667,0.138889,neg
0.176471,0,0.176471,0.588235,0.058824,neg
0,0.052632,0.631579,0.210526,0.105263,neg
0,0,0.378378,0.486486,0.135135,neg
0,0,0.444444,0.444444,0.111111,neg
0.190476,0,0.190476,0.619048,0,neg
0.066667,0,0.4,0.533333,0,neg
0.030303,0.030303,0.393939,0.545455,0,neg
0.071429,0.071429,0.5,0.285714,0.071429,neg
0.045455,0,0.272727,0.545455,0.136364,neg
0,0,0.470588,0.235294,0.294118,neg
0.12,0,0.4,0.36,0.12,neg
0,0,0.5,0.375,0.125,neg
0,0.076923,0.538462,0.153846,0.230769,neg
0,0,0.692308,0.230769,0.076923,neg
0,0.034483,0.586207,0.103448,0.275862,neg
0.035714,0.017857,0.5,0.232143,0.214286,neg
0.055556,0,0.333333,0.5,0.111111,neg
0,0,0.333333,0.666667,0,neg
0.021739,0,0.478261,0.391304,0.108696,neg
0,0.076923,0.230769,0.692308,0,neg
0,0.041667,0.5,0.416667,0.041667,neg
0,0.151515,0.454545,0.151515,0.242424,neg
0.027027,0.027027,0.432432,0.405405,0.108108,neg
0,0.038462,0.384615,0.423077,0.153846,neg
0,0.023256,0.581395,0.27907,0.116279,neg
0.044444,0.066667,0.533333,0.244444,0.111111,neg
0.1,0,0.2,0.6,0.1,neg
0,0.071429,0.5,0.428571,0,neg
0.022727,0.022727,0.659091,0.159091,0.136364,neg
0.047619,0,0.238095,0.52381,0.190476,neg
0.058824,0.058824,0.411765,0.470588,0,neg
0,0,0.333333,0.466667,0.2,neg
0,0,0.55,0.3,0.15,neg
0.045455,0,0.545455,0.227273,0.181818,neg
0,0,0.636364,0.181818,0.181818,neg
0.071429,0,0.357143,0.5,0.071429,neg
0,0,0.583333,0.333333,0.083333,neg
0.2,0,0.35,0.45,0,neg
0,0.045455,0.636364,0.227273,0.090909,neg
0,0.1,0.65,0.05,0.2,neg
0.172414,0,0.310345,0.517241,0,neg
0.176471,0,0.176471,0.588235,0.058824,neg
0.041667,0.083333,0.416667,0.25,0.208333,neg
0,0.05,0.4,0.55,0,neg
0,0.058824,0.470588,0.411765,0.058824,neg
0.071429,0,0.357143,0.5,0.071429,neg
0.02381,0.166667,0.47619,0.238095,0.095238,neg
0.043478,0,0.304348,0.608696,0.043478,neg
0.047619,0,0.285714,0.47619,0.190476,neg
0,0,0.333333,0.666667,0,neg
0.083333,0,0.388889,0.5,0.027778,neg
0.2,0,0.3,0.45,0.05,neg
0.2,0,0.066667,0.666667,0.066667,neg
0,0,0.533333,0.466667,0,neg
0.055556,0,0.444444,0.444444,0.055556,neg
0.076923,0.230769,0.461538,0.076923,0.153846,neg
0.025,0.025,0.5,0.375,0.075,neg
0,0,0.666667,0.333333,0,neg
0,0.052632,0.578947,0.157895,0.210526,neg
0,0,0.588235,0.352941,0.058824,neg
0.190476,0,0.285714,0.47619,0.047619,neg
0,0,0.5,0.25,0.25,neg
0,0,0.4375,0.4375,0.125,neg
0.05,0.05,0.4,0.3,0.2,neg
